Car_Ad,Car_Brand,year,km_driven,fuel,seller_type,transmission,owner,engine,horsepower,seats,selling_price
Hyundai Creta 1.6 CRDi SX Plus,Hyundai,2016,70000,Diesel,Individual,Manual,First Owner,1582,126.2,five,1100000
Hyundai Creta 1.4 CRDi S,Hyundai,2018,70000,Diesel,Individual,Manual,First Owner,1396,88.7,five,1050000
Hyundai Verna 1.6 SX CRDi (O),Hyundai,2017,70000,Diesel,Dealer,Manual,First Owner,1582,126.32,five,1050000
Hyundai Creta 1.4 CRDi S,Hyundai,2018,70000,Diesel,Individual,Manual,First Owner,1396,88.7,five,1050000
Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,Maruti,2018,70000,Diesel,Individual,Manual,First Owner,1248,88.5,five,1000000
Hyundai Creta 1.6 CRDi SX Option,Hyundai,2015,70000,Diesel,Individual,Manual,First Owner,1582,126.2,five,1000000
Hyundai Verna CRDi 1.6 SX,Hyundai,2018,70000,Diesel,Individual,Manual,First Owner,1582,126.2,five,950000
Tata Nexon 1.5 Revotorq XZ Plus,Tata,2017,70000,Diesel,Individual,Manual,First Owner,1497,108.5,five,869999
Maruti Ciaz RS ZDi Plus SHVS,Maruti,2017,70000,Diesel,Dealer,Manual,First Owner,1248,88.5,five,844999
Maruti Ciaz RS ZDi Plus SHVS,Maruti,2017,70000,Diesel,Dealer,Manual,First Owner,1248,88.5,five,844999
Volkswagen GTI 1.8 TSI,Volkswagen,2016,70000,Petrol,Individual,Automatic,First Owner,1798,189.3,five,800000
Maruti Baleno Alpha 1.3,Maruti,2017,70000,Diesel,Individual,Manual,First Owner,1248,74,five,800000
Maruti Vitara Brezza ZDi Plus Dual Tone,Maruti,2016,70000,Diesel,Individual,Manual,First Owner,1248,88.5,five,800000
Honda WR-V i-DTEC S,Honda,2017,70000,Diesel,Individual,Manual,First Owner,1498,98.6,five,800000
Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,Maruti,2017,70000,Diesel,Individual,Manual,Second Owner,1248,88.5,five,800000
Maruti Vitara Brezza ZDi Plus Dual Tone,Maruti,2016,70000,Diesel,Individual,Manual,First Owner,1248,88.5,five,800000
Honda City i DTEC VX,Honda,2015,70000,Diesel,Individual,Manual,Third Owner,1498,98.6,five,760000
Nissan Terrano XL 110 PS,Nissan,2015,70000,Diesel,Individual,Manual,First Owner,1461,108.5,five,750000
Maruti Vitara Brezza VDi,Maruti,2016,70000,Diesel,Individual,Manual,First Owner,1248,88.5,five,750000
Maruti Vitara Brezza VDi,Maruti,2016,70000,Diesel,Individual,Manual,First Owner,1248,88.5,five,745000
Maruti Baleno Alpha 1.3,Maruti,2017,70000,Diesel,Individual,Manual,First Owner,1248,74,five,735000
Maruti Baleno Alpha 1.3,Maruti,2017,70000,Diesel,Individual,Manual,First Owner,1248,74,five,735000
Maruti Ciaz ZDi,Maruti,2015,70000,Diesel,Individual,Manual,First Owner,1248,88.5,five,730000
Maruti Ciaz ZDi Plus SHVS,Maruti,2016,70000,Diesel,Individual,Manual,Second Owner,1248,88.5,five,715000
Hyundai Grand i10 1.2 CRDi Asta,Hyundai,2018,70000,Diesel,Individual,Manual,First Owner,1186,73.97,five,710000
Maruti Swift Dzire ZDI,Maruti,2017,70000,Diesel,Individual,Manual,First Owner,1248,74.02,five,700000
Ford Figo Aspire 1.5 TDCi Titanium,Ford,2017,70000,Diesel,Individual,Manual,First Owner,1498,99,five,700000
Honda WR-V i-DTEC S,Honda,2017,70000,Diesel,Individual,Manual,First Owner,1498,98.6,five,700000
Maruti Ciaz VDi Option SHVS,Maruti,2016,70000,Diesel,Individual,Manual,First Owner,1248,88.5,five,700000
Hyundai i20 1.4 Asta Option,Hyundai,2017,70000,Diesel,Individual,Manual,First Owner,1396,88.73,five,700000
Maruti Swift Dzire VDI,Maruti,2018,70000,Diesel,Individual,Manual,First Owner,1248,74.02,five,680000
Maruti Vitara Brezza LDi Option,Maruti,2017,70000,Diesel,Individual,Manual,First Owner,1248,88.5,five,670000
Ford Figo Aspire 1.5 TDCi Titanium,Ford,2017,70000,Diesel,Individual,Manual,First Owner,1498,99,five,670000
Toyota Etios Liva 1.4 VD,Toyota,2018,70000,Diesel,Individual,Manual,First Owner,1364,67.04,five,665000
Maruti Swift Dzire ZDI Plus,Maruti,2017,70000,Diesel,Individual,Manual,First Owner,1248,74.02,five,655000
Maruti Swift Dzire ZXI,Maruti,2017,70000,Petrol,Individual,Manual,First Owner,1197,83.14,five,650000
Maruti Swift Dzire ZXI,Maruti,2017,70000,Petrol,Individual,Manual,First Owner,1197,83.14,five,650000
Maruti Vitara Brezza LDi Option,Maruti,2017,70000,Diesel,Individual,Manual,First Owner,1248,88.5,five,650000
Maruti Swift Dzire VDI,Maruti,2017,70000,Diesel,Individual,Manual,First Owner,1248,74,five,650000
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,Hyundai,2015,70000,Diesel,Individual,Manual,First Owner,1396,88.73,five,650000
Maruti Swift Dzire VDI,Maruti,2016,70000,Diesel,Individual,Manual,First Owner,1248,74,five,649000
Maruti Vitara Brezza LDi Option,Maruti,2016,70000,Diesel,Individual,Manual,First Owner,1248,88.5,five,640000
Maruti Swift VDI Deca,Maruti,2016,70000,Diesel,Individual,Manual,First Owner,1248,74,five,630000
Maruti Ciaz ZDi Plus,Maruti,2015,70000,Diesel,Individual,Manual,First Owner,1248,88.5,five,630000
Maruti Ciaz ZDi Plus SHVS,Maruti,2015,70000,Diesel,Individual,Manual,Second Owner,1248,88.5,five,630000
Maruti Baleno Sigma 1.3,Maruti,2017,70000,Diesel,Individual,Manual,First Owner,1248,74,five,625000
Maruti Swift Dzire VDI,Maruti,2017,70000,Diesel,Dealer,Manual,First Owner,1248,74,five,625000
Hyundai Verna 1.6 SX CRDi (O),Hyundai,2014,70000,Diesel,Individual,Manual,Second Owner,1582,126.32,five,625000
Hyundai Xcent 1.2 CRDi S,Hyundai,2018,70000,Diesel,Individual,Manual,First Owner,1186,73.97,five,620000
Maruti Swift Dzire VDI,Maruti,2014,70000,Diesel,Individual,Manual,Second Owner,1248,74,five,600000
Maruti Baleno Zeta 1.3,Maruti,2015,70000,Diesel,Individual,Manual,Second Owner,1248,74,five,600000
Maruti Ciaz VDi Plus,Maruti,2015,70000,Diesel,Individual,Manual,First Owner,1248,88.5,five,600000
Maruti Swift VDI Optional,Maruti,2016,70000,Diesel,Individual,Manual,First Owner,1248,74,five,600000
Honda City i DTEC V,Honda,2014,70000,Diesel,Individual,Manual,First Owner,1498,98.6,five,600000
Honda City i DTEC S,Honda,2015,70000,Diesel,Individual,Manual,First Owner,1498,98.6,five,600000
Honda Amaze S i-DTEC,Honda,2017,70000,Diesel,Individual,Manual,Second Owner,1498,98.6,five,590000
Hyundai i20 Active 1.2 S,Hyundai,2015,70000,Petrol,Individual,Manual,Third Owner,1197,81.86,five,590000
Hyundai i20 Sportz Option 1.2,Hyundai,2014,70000,Petrol,Individual,Manual,Second Owner,1197,81.83,five,590000
Maruti Dzire VXI,Maruti,2020,70000,Petrol,Individual,Manual,First Owner,1197,88.5,five,580000
Tata Nexon 1.2 Revotron XM,Tata,2018,70000,Petrol,Individual,Manual,First Owner,1198,108.5,five,575000
Hyundai i20 2015-2017 Magna 1.4 CRDi,Hyundai,2017,70000,Diesel,Individual,Manual,Second Owner,1396,88.73,five,575000
Tata Zest Quadrajet 1.3 XT,Tata,2018,70000,Diesel,Individual,Manual,First Owner,1248,88.7,five,575000
Maruti Swift VDI BSIV,Maruti,2014,70000,Diesel,Individual,Manual,Second Owner,1248,74,five,570000
Hyundai i20 Asta 1.2,Hyundai,2014,70000,Petrol,Individual,Manual,Second Owner,1197,81.83,five,565000
Maruti Swift VDI BSIV,Maruti,2016,70000,Diesel,Individual,Manual,Second Owner,1248,74,five,565000
Maruti Swift Dzire LDI,Maruti,2019,70000,Diesel,Individual,Manual,First Owner,1248,74.02,five,558000
Maruti Swift Dzire VDI,Maruti,2013,70000,Diesel,Individual,Manual,First Owner,1248,74,five,550000
Hyundai Xcent 1.1 CRDi SX Option,Hyundai,2017,70000,Diesel,Individual,Manual,Second Owner,1120,71,five,550000
Volkswagen Polo 1.5 TDI Comfortline,Volkswagen,2016,70000,Diesel,Individual,Manual,First Owner,1498,88,five,550000
Ford Figo Aspire 1.5 TDCi Titanium Opt,Ford,2017,70000,Diesel,Individual,Manual,Second Owner,1498,99,five,550000
Hyundai Grand i10 Asta,Hyundai,2016,70000,Petrol,Individual,Manual,First Owner,1197,82,five,550000
Hyundai i20 Asta 1.2,Hyundai,2015,70000,Petrol,Individual,Manual,First Owner,1197,81.83,five,550000
Tata Zest Quadrajet 1.3 75PS XE,Tata,2017,70000,Diesel,Individual,Manual,First Owner,1248,74,five,540000
Hyundai Verna 1.6 SX CRDi (O),Hyundai,2014,70000,Diesel,Individual,Manual,Third Owner,1582,126.32,five,535000
Maruti Swift VDI BSIV,Maruti,2016,70000,Diesel,Individual,Manual,First Owner,1248,74,five,535000
Maruti Swift Dzire VXI,Maruti,2017,70000,Petrol,Individual,Manual,First Owner,1197,83.14,five,525000
Hyundai Sonata 2.4 GDi MT,Hyundai,2012,70000,Petrol,Individual,Manual,Second Owner,2359,198.25,five,525000
Maruti Swift Dzire VDI,Maruti,2015,70000,Diesel,Individual,Manual,First Owner,1248,74,five,520000
Maruti Swift VDI BSIV,Maruti,2014,70000,Diesel,Individual,Manual,Second Owner,1248,74,five,520000
Maruti Swift Dzire VDI,Maruti,2015,70000,Diesel,Individual,Manual,First Owner,1248,74,five,520000
Maruti Swift VXI 2018,Maruti,2018,70000,Petrol,Individual,Manual,Second Owner,1197,81.8,five,509999
Hyundai i20 Asta 1.4 CRDi,Hyundai,2015,70000,Diesel,Individual,Manual,Fourth & Above Owner,1396,88.73,five,500000
Hyundai Verna 1.6 SX VTVT (O),Hyundai,2014,70000,Petrol,Individual,Manual,First Owner,1591,121.3,five,500000
Honda Amaze E i-Dtech,Honda,2016,70000,Diesel,Individual,Manual,Second Owner,1498,98.6,five,500000
Volkswagen Vento 1.6 Highline,Volkswagen,2014,70000,Petrol,Individual,Manual,Second Owner,1598,103.2,five,500000
Honda Amaze E i-DTEC,Honda,2017,70000,Diesel,Individual,Manual,First Owner,1498,98.6,five,500000
Hyundai Verna 1.6 SX CRDi (O),Hyundai,2013,70000,Diesel,Individual,Manual,Third Owner,1582,126.32,five,500000
Ford EcoSport 1.5 Ti VCT MT Titanium BSIV,Ford,2013,70000,Petrol,Individual,Manual,Second Owner,1499,110.4,five,500000
Hyundai i20 Asta 1.2,Hyundai,2015,70000,Petrol,Individual,Manual,First Owner,1197,81.83,five,500000
Fiat Linea 1.3 Multijet Emotion,Fiat,2015,70000,Diesel,Individual,Manual,First Owner,1248,91.7,five,500000
Hyundai Verna 1.6 SX CRDi (O),Hyundai,2012,70000,Diesel,Individual,Manual,First Owner,1582,126.32,five,500000
Ford Figo Aspire 1.5 TDCi Ambiente,Ford,2016,70000,Diesel,Individual,Manual,First Owner,1498,99,five,500000
Hyundai Xcent 1.1 CRDi SX Option,Hyundai,2015,70000,Diesel,Individual,Manual,First Owner,1120,71,five,480000
Hyundai Grand i10 Sportz Celebration Edition,Hyundai,2016,70000,Petrol,Individual,Manual,First Owner,1197,82,five,480000
Maruti Swift VDI BSIV,Maruti,2014,70000,Diesel,Individual,Manual,Second Owner,1248,74,five,470000
Maruti Swift Dzire LDI Optional,Maruti,2015,70000,Diesel,Individual,Manual,Second Owner,1248,74,five,470000
Hyundai i20 Magna 1.2,Hyundai,2016,70000,Petrol,Individual,Manual,First Owner,1197,81.83,five,470000
Hyundai Grand i10 Sportz,Hyundai,2017,70000,Petrol,Individual,Manual,First Owner,1197,82,five,459999
Maruti Wagon R LXI CNG,Maruti,2018,70000,CNG,Individual,Manual,First Owner,998,58.16,five,459999
Hyundai Verna 1.6 SX CRDi (O),Hyundai,2012,70000,Diesel,Individual,Manual,First Owner,1582,126.32,five,459999
Maruti Swift Dzire VDI,Maruti,2014,70000,Diesel,Individual,Manual,Fourth & Above Owner,1248,74,five,459999
Tata Indigo CS LX (TDI) BS-III,Tata,2017,70000,Diesel,Individual,Manual,First Owner,1405,69.01,five,450000
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,Ford,2015,70000,Petrol,Individual,Manual,First Owner,1196,86.8,five,450000
Maruti Swift Dzire VDI,Maruti,2014,70000,Diesel,Individual,Manual,First Owner,1248,74,five,450000
Tata Indigo CS LX (TDI) BS-III,Tata,2017,70000,Diesel,Individual,Manual,First Owner,1405,69.01,five,450000
Hyundai i20 1.2 Magna Executive,Hyundai,2017,70000,Petrol,Individual,Manual,First Owner,1197,81.83,five,450000
Fiat Grande Punto 1.3 Dynamic (Diesel),Fiat,2012,70000,Diesel,Individual,Manual,First Owner,1248,75,five,450000
Maruti Swift VDI,Maruti,2013,70000,Diesel,Dealer,Manual,Second Owner,1248,74,five,445000
Hyundai i20 Sportz 1.4 CRDi,Hyundai,2014,70000,Diesel,Individual,Manual,Second Owner,1396,88.73,five,440000
Hyundai i20 Sportz 1.4 CRDi,Hyundai,2014,70000,Diesel,Individual,Manual,Second Owner,1396,88.73,five,440000
Maruti Swift ZDi,Maruti,2014,70000,Diesel,Individual,Manual,Second Owner,1248,74,five,440000
Ford Figo Aspire 1.5 TDCi Titanium,Ford,2015,70000,Diesel,Individual,Manual,First Owner,1498,99,five,433000
Hyundai Grand i10 Magna,Hyundai,2015,70000,Petrol,Individual,Manual,First Owner,1197,82,five,425000
Honda Amaze S i-Dtech,Honda,2013,70000,Diesel,Individual,Manual,First Owner,1498,98.6,five,425000
Maruti Ritz VDi,Maruti,2014,70000,Diesel,Individual,Manual,First Owner,1248,73.94,five,425000
Maruti Ritz VDi,Maruti,2016,70000,Diesel,Individual,Manual,First Owner,1248,73.94,five,425000
Maruti Swift Dzire VXI,Maruti,2014,70000,Petrol,Individual,Manual,Second Owner,1197,85.8,five,409000
Nissan Terrano XL 85 PS,Nissan,2014,70000,Diesel,Individual,Manual,Third Owner,1461,83.8,five,400000
Maruti Swift Dzire VXI,Maruti,2014,70000,Petrol,Individual,Manual,Second Owner,1197,85.8,five,400000
Toyota Etios Liva GD SP,Toyota,2013,70000,Diesel,Dealer,Manual,Second Owner,1364,67.06,five,400000
Hyundai i20 Sportz 1.2,Hyundai,2013,70000,Petrol,Individual,Manual,First Owner,1197,82.85,five,400000
Hyundai Verna Transform CRDi VGT SX ABS,Hyundai,2011,70000,Diesel,Individual,Manual,Third Owner,1493,110,five,400000
Maruti Swift Star VDI,Maruti,2013,70000,Diesel,Individual,Manual,First Owner,1248,74,five,400000
Hyundai Grand i10 AT Asta,Hyundai,2015,70000,Petrol,Individual,Automatic,Second Owner,1197,82,five,400000
Hyundai Verna 1.6 VTVT,Hyundai,2013,70000,Petrol,Individual,Manual,First Owner,1591,121.3,five,400000
Maruti Wagon R VXI Optional,Maruti,2017,70000,Petrol,Individual,Manual,First Owner,998,67.04,five,400000
Maruti Swift VDI BSIV,Maruti,2014,70000,Diesel,Individual,Manual,Third Owner,1248,74,five,399000
Maruti Swift Dzire VDI,Maruti,2013,70000,Diesel,Individual,Manual,Second Owner,1248,74,five,395000
Maruti Eeco 5 Seater AC BSIV,Maruti,2017,70000,Petrol,Individual,Manual,First Owner,1196,73,five,390000
Tata Tiago 1.05 Revotorq XZ,Tata,2016,70000,Diesel,Individual,Manual,First Owner,1047,69,five,380000
Maruti Swift VDI,Maruti,2012,70000,Diesel,Individual,Manual,Third Owner,1248,74,five,380000
Maruti Swift Dzire VDi,Maruti,2012,70000,Diesel,Individual,Manual,Third Owner,1248,73.9,five,380000
Maruti Swift Dzire LDIX Limited Edition,Maruti,2014,70000,Diesel,Individual,Manual,Second Owner,1248,74,five,380000
Hyundai i20 Sportz 1.2,Hyundai,2013,70000,Petrol,Individual,Manual,First Owner,1197,82.85,five,375000
Maruti Swift Dzire ZDi,Maruti,2012,70000,Diesel,Individual,Manual,Second Owner,1248,73.9,five,375000
Volkswagen Polo Diesel Highline 1.2L,Volkswagen,2013,70000,Diesel,Individual,Manual,Second Owner,1199,73.9,five,365000
Maruti Swift LDI BSIV,Maruti,2014,70000,Diesel,Individual,Manual,First Owner,1248,74,five,360000
Maruti Swift Dzire VDI,Maruti,2013,70000,Diesel,Individual,Manual,Third Owner,1248,74,five,360000
Maruti Swift Dzire LDI,Maruti,2013,70000,Diesel,Individual,Manual,Second Owner,1248,74,five,356000
Maruti Wagon R LXI BS IV,Maruti,2016,70000,Petrol,Individual,Manual,First Owner,998,67.04,five,350000
Hyundai Grand i10 CRDi Asta,Hyundai,2014,70000,Diesel,Individual,Manual,Second Owner,1120,70,five,350000
Maruti SX4 ZDI Leather,Maruti,2012,70000,Diesel,Individual,Manual,Second Owner,1248,88.8,five,350000
Mahindra Verito 1.6 G6 Executive BSIII,Mahindra,2013,70000,Petrol,Individual,Manual,First Owner,1598,86,five,350000
Hyundai i20 Magna 1.4 CRDi (Diesel),Hyundai,2013,70000,Diesel,Individual,Manual,Second Owner,1396,88.76,five,350000
Volkswagen CrossPolo 1.5 TDI,Volkswagen,2013,70000,Diesel,Individual,Manual,Second Owner,1498,88.5,five,350000
Volkswagen Polo Diesel Highline 1.2L,Volkswagen,2013,70000,Diesel,Individual,Manual,Second Owner,1199,73.9,five,350000
Ford Figo 1.5D Ambiente MT,Ford,2016,70000,Diesel,Individual,Manual,Second Owner,1498,99,five,350000
Tata Zest Revotron 1.2T XM,Tata,2016,70000,Petrol,Individual,Manual,Second Owner,1193,88.7,five,350000
Toyota Etios VX,Toyota,2011,70000,Petrol,Individual,Manual,First Owner,1496,88.7,five,345000
Toyota Etios VX,Toyota,2011,70000,Petrol,Individual,Manual,First Owner,1496,88.7,five,345000
Hyundai i20 Sportz 1.2,Hyundai,2013,70000,Petrol,Individual,Manual,First Owner,1197,82.85,five,340000
Maruti Celerio VXI,Maruti,2015,70000,Petrol,Individual,Manual,Third Owner,998,67.04,five,330000
Hyundai Grand i10 Sportz,Hyundai,2016,70000,Petrol,Individual,Manual,Fourth & Above Owner,1197,82,five,330000
Hyundai EON 1.0 Era Plus,Hyundai,2018,70000,Petrol,Individual,Manual,First Owner,998,68.05,five,330000
Hyundai Grand i10 Sportz,Hyundai,2020,70000,Petrol,Individual,Manual,Second Owner,1197,81.86,five,330000
Honda CR-V 2.4 4WD AT,Honda,2007,70000,Petrol,Individual,Automatic,Second Owner,2354,152,five,325000
Hyundai i20 Magna 1.4 CRDi (Diesel),Hyundai,2013,70000,Diesel,Individual,Manual,Third Owner,1396,88.76,five,325000
Maruti Eeco CNG 5 Seater AC BSIV,Maruti,2014,70000,CNG,Individual,Manual,Second Owner,1196,61.7,five,325000
Maruti Swift VDI,Maruti,2011,70000,Diesel,Individual,Manual,First Owner,1248,74,five,325000
Hyundai i10 Magna 1.2 iTech SE,Hyundai,2013,70000,Petrol,Individual,Manual,First Owner,1197,78.9,five,325000
Hyundai i10 Sportz,Hyundai,2013,70000,Petrol,Individual,Manual,Second Owner,1197,78.9,five,325000
Hyundai i20 1.4 CRDi Magna,Hyundai,2011,70000,Diesel,Individual,Manual,Second Owner,1396,90,five,320000
Nissan Sunny XL,Nissan,2012,70000,Petrol,Individual,Manual,Second Owner,1498,97.7,five,320000
Maruti Wagon R VXI BS IV,Maruti,2014,70000,Petrol,Individual,Manual,First Owner,998,67.04,five,320000
Hyundai Verna Transform CRDi VGT SX ABS,Hyundai,2010,70000,Diesel,Individual,Manual,Second Owner,1493,110,five,320000
Hyundai i10 Magna 1.1L,Hyundai,2013,70000,Petrol,Individual,Manual,First Owner,1086,68.05,five,310000
Tata Indigo eCS VX BSIV,Tata,2013,70000,Diesel,Individual,Manual,First Owner,1396,69,five,310000
Tata Indigo eCS VX BSIV,Tata,2013,70000,Diesel,Individual,Manual,First Owner,1396,69,five,310000
Maruti Swift Dzire ZDi,Maruti,2011,70000,Diesel,Individual,Manual,Second Owner,1248,73.9,five,310000
Hyundai i20 1.2 Asta,Hyundai,2010,70000,Petrol,Individual,Manual,First Owner,1197,80,five,300000
Ford Figo Diesel ZXI,Ford,2012,70000,Diesel,Individual,Manual,Second Owner,1399,68,five,300000
Maruti Swift VDI,Maruti,2011,70000,Diesel,Individual,Manual,Second Owner,1248,74,five,300000
Maruti Ritz VDi,Maruti,2012,70000,Diesel,Individual,Manual,First Owner,1248,73.94,five,300000
Maruti Swift Dzire Tour LDI,Maruti,2013,70000,Diesel,Individual,Manual,First Owner,1248,74,five,300000
Maruti Ritz VDi,Maruti,2012,70000,Diesel,Individual,Manual,First Owner,1248,73.94,five,300000
Tata Zest Revotron 1.2T XM,Tata,2015,70000,Petrol,Individual,Manual,First Owner,1193,88.7,five,300000
Tata Manza Aura (ABS) Quadrajet BS IV,Tata,2012,70000,Diesel,Individual,Manual,Third Owner,1248,88.8,five,300000
Ford Fiesta Classic 1.4 Duratorq LXI,Ford,2012,70000,Diesel,Individual,Manual,First Owner,1388,67,five,300000
Ford Figo Diesel EXI,Ford,2012,70000,Diesel,Individual,Manual,First Owner,1399,68,five,300000
Maruti Alto K10 VXI,Maruti,2014,70000,Petrol,Individual,Manual,First Owner,998,67.05,five,300000
Chevrolet Spark 1.0 LT LPG,Chevrolet,2012,70000,LPG,Individual,Manual,First Owner,995,60.2,five,300000
Maruti Alto K10 VXI,Maruti,2016,70000,Petrol,Individual,Manual,First Owner,998,67.05,five,298000
Nissan Sunny Diesel XL,Nissan,2012,70000,Diesel,Individual,Manual,Second Owner,1461,84.8,five,295000
Ford Figo Diesel EXI,Ford,2015,70000,Diesel,Individual,Manual,First Owner,1399,68.05,five,292000
Maruti Celerio LDi,Maruti,2016,70000,Diesel,Individual,Manual,First Owner,793,47,five,285000
Tata Indica Vista TDI LS,Tata,2015,70000,Diesel,Individual,Manual,First Owner,1405,70,five,285000
Fiat Grande Punto Sport 90BHP,Fiat,2012,70000,Diesel,Individual,Manual,Second Owner,1248,92,five,285000
Tata Indigo eCS VX BSIV,Tata,2013,70000,Diesel,Individual,Manual,First Owner,1396,69,five,280000
Maruti Swift VDI,Maruti,2012,70000,Diesel,Individual,Manual,Second Owner,1248,74,five,280000
Maruti Swift ZXI,Maruti,2012,70000,Petrol,Individual,Manual,Second Owner,1197,85.8,five,280000
Tata Indigo eCS VX BSIV,Tata,2013,70000,Diesel,Individual,Manual,First Owner,1396,69,five,280000
Maruti Ritz ZXi,Maruti,2012,70000,Petrol,Individual,Manual,Second Owner,1197,85.8,five,275000
Hyundai i10 Magna LPG,Hyundai,2013,70000,LPG,Individual,Manual,Second Owner,1086,68.05,five,275000
Maruti Swift Dzire VXi,Maruti,2011,70000,Petrol,Individual,Manual,Third Owner,1298,85.8,five,275000
Honda City 2017-2020 GXi,Honda,2006,70000,Petrol,Individual,Manual,Second Owner,1497,78,five,270000
Maruti Wagon R LXI,Maruti,2020,70000,Petrol,Individual,Manual,Second Owner,998,67.05,five,265000
Mahindra Verito 1.5 D4 BSIV,Mahindra,2012,70000,Diesel,Individual,Manual,Second Owner,1461,65,five,260000
Ford Figo Diesel Titanium,Ford,2010,70000,Diesel,Individual,Manual,First Owner,1399,68,five,260000
Mahindra Verito 1.5 D4 BSIII,Mahindra,2012,70000,Diesel,Individual,Manual,Second Owner,1461,65,five,254999
Volkswagen Vento Diesel Trendline,Volkswagen,2011,70000,Diesel,Individual,Manual,Second Owner,1598,103.6,five,250000
Tata Manza ELAN Quadrajet BS III,Tata,2011,70000,Diesel,Individual,Manual,First Owner,1248,90,five,250000
Maruti Swift Dzire VXi,Maruti,2008,70000,Petrol,Individual,Manual,Fourth & Above Owner,1298,85.8,five,250000
Maruti Wagon R VXI,Maruti,2006,70000,Petrol,Individual,Manual,First Owner,998,67.1,five,250000
Hyundai i10 Magna 1.2 iTech SE,Hyundai,2011,70000,Petrol,Individual,Manual,First Owner,1197,78.9,five,250000
Tata Manza ELAN Quadrajet BS III,Tata,2011,70000,Diesel,Individual,Manual,First Owner,1248,90,five,250000
Maruti Alto 800 LXI Airbag,Maruti,2015,70000,Petrol,Individual,Manual,First Owner,796,47.3,five,250000
Ford Figo Diesel Celebration Edition,Ford,2013,70000,Diesel,Individual,Manual,Second Owner,1399,68.1,five,245000
Maruti Swift Dzire VDi,Maruti,2009,70000,Diesel,Individual,Manual,Second Owner,1248,73.9,five,240000
Honda Civic 1.8 V MT,Honda,2009,70000,Petrol,Individual,Manual,First Owner,1799,130,five,240000
Hyundai EON Era Plus,Hyundai,2014,70000,Petrol,Individual,Manual,First Owner,814,55.2,five,240000
Maruti Wagon R LX BSIII,Maruti,2009,70000,Petrol,Individual,Manual,Second Owner,1061,64,five,235000
Maruti Zen Estilo LXI Green (CNG),Maruti,2014,70000,CNG,Individual,Manual,Second Owner,998,67.1,five,235000
Maruti Wagon R Duo Lxi,Maruti,2012,70000,LPG,Individual,Manual,First Owner,998,58.2,five,231000
Volkswagen Polo Diesel Comfortline 1.2L,Volkswagen,2012,70000,Diesel,Individual,Manual,Fourth & Above Owner,1199,73.9,five,229999
Ford Figo Diesel Celebration Edition,Ford,2013,70000,Diesel,Individual,Manual,First Owner,1399,68.1,five,229999
Hyundai EON Era Plus,Hyundai,2014,70000,Petrol,Individual,Manual,First Owner,814,55.2,five,229999
Ford Figo Diesel EXI,Ford,2011,70000,Diesel,Individual,Manual,First Owner,1399,68,five,225000
Tata Indica Vista TDI LX,Tata,2013,70000,Diesel,Individual,Manual,Second Owner,1405,70,five,225000
Maruti Wagon R VXI BSIII,Maruti,2012,70000,Petrol,Individual,Manual,First Owner,998,67.1,five,221000
Chevrolet Beat Diesel LT,Chevrolet,2012,70000,Diesel,Individual,Manual,Second Owner,936,57.6,five,220000
Skoda Fabia 1.2 TDI Ambition Plus,Skoda,2012,70000,Diesel,Individual,Manual,Third Owner,1199,75,five,220000
Hyundai i10 Sportz Option,Hyundai,2011,70000,Petrol,Individual,Manual,Third Owner,1197,78.9,five,220000
Honda City 2017-2020 EXi,Honda,2007,70000,Petrol,Individual,Manual,First Owner,1497,78,five,220000
Maruti Ritz VDi,Maruti,2012,70000,Diesel,Individual,Manual,Second Owner,1248,73.94,five,220000
Hyundai i20 1.2 Magna,Hyundai,2011,70000,Petrol,Individual,Manual,First Owner,1197,80,five,220000
Hyundai i10 Asta,Hyundai,2008,70000,Petrol,Individual,Manual,Second Owner,1197,78.9,five,215000
Tata Indigo eCS LX BSIV,Tata,2011,70000,Diesel,Individual,Manual,First Owner,1396,69,five,215000
Hyundai EON Magna Plus,Hyundai,2014,70000,Petrol,Individual,Manual,First Owner,814,55.2,five,210000
Maruti Alto K10 2010-2014 VXI,Maruti,2014,70000,Petrol,Individual,Manual,First Owner,998,67.1,five,210000
Ford Figo Diesel Titanium,Ford,2011,70000,Diesel,Individual,Manual,Second Owner,1399,68,five,204999
Ford Classic 1.4 Duratorq CLXI,Ford,2013,70000,Diesel,Individual,Manual,Second Owner,1399,67,five,200000
Ford Fiesta 1.4 ZXi Duratec,Ford,2011,70000,Petrol,Individual,Manual,Second Owner,1388,68,five,200000
Chevrolet Beat Diesel LT,Chevrolet,2012,70000,Diesel,Individual,Manual,Second Owner,936,57.6,five,200000
Hyundai i10 Sportz 1.1L,Hyundai,2010,70000,Petrol,Individual,Manual,Second Owner,1086,68.05,five,200000
Maruti Alto K10 2010-2014 VXI,Maruti,2012,70000,Petrol,Individual,Manual,Second Owner,998,67.1,five,200000
Chevrolet Sail Hatchback LT ABS,Chevrolet,2013,70000,Diesel,Individual,Manual,First Owner,1248,76.9,five,200000
Maruti Wagon R LXI LPG BSIV,Maruti,2011,70000,LPG,Individual,Manual,First Owner,998,58.2,five,200000
